iter	Passed	Remaining
411	3679	5251
412	3688	5243
413	3697	5234
414	3715	5236
415	3733	5240
416	3744	5234
417	3765	5242
418	3777	5238
419	3785	5227
420	3793	5216
421	3801	5206
422	3809	5196
423	3817	5185
424	3825	5175
425	3833	5165
426	3841	5155
427	3850	5145
428	3858	5136
429	3866	5125
430	3875	5116
431	3883	5106
432	3893	5098
433	3910	5099
434	3918	5090
435	3927	5080
436	3934	5068
437	3943	5059
438	3951	5049
439	3961	5041
440	3969	5031
441	3978	5022
442	3987	5013
443	3994	5001
444	4003	4992
445	4010	4982
446	4017	4970
447	4025	4960
448	4033	4949
449	4041	4939
450	4050	4930
451	4057	4919
452	4066	4910
453	4075	4901
454	4084	4891
455	4092	4882
456	4101	4873
457	4110	4863
458	4119	4855
459	4126	4844
460	4135	4835
461	4144	4826
462	4153	4817
463	4162	4808
464	4172	4800
465	4181	4791
466	4189	4781
467	4198	4772
468	4207	4763
469	4215	4753
470	4224	4744
471	4232	4734
472	4241	4726
473	4250	4716
474	4258	4707
475	4267	4697
476	4274	4686
477	4282	4677
478	4292	4668
479	4299	4658
480	4307	4648
481	4316	4639
482	4324	4629
483	4333	4620
484	4342	4611
485	4351	4601
486	4360	4593
487	4368	4583
488	4376	4573
489	4384	4563
490	4393	4554
491	4402	4545
492	4410	4535
493	4419	4526
494	4425	4514
495	4433	4505
496	4442	4495
497	4453	4488
498	4461	4479
499	4470	4470
500	4479	4461
501	4488	4452
502	4496	4442
503	4505	4433
504	4512	4423
505	4521	4414
506	4529	4404
507	4538	4395
508	4546	4385
509	4555	4377
510	4563	4367
511	4571	4356
512	4579	4347
513	4588	4338
514	4597	4329
515	4606	4320
516	4614	4311
517	4623	4302
518	4632	4292
519	4638	4281
520	4646	4271
521	4655	4263
522	4663	4253
523	4671	4243
524	4679	4233
525	4687	4224
526	4695	4214
527	4705	4206
528	4714	4197
529	4722	4187
530	4730	4177
531	4738	4168
532	4749	4161
533	4770	4162
534	4781	4156
535	4795	4151
536	4815	4151
537	4825	4144
538	4833	4134
539	4842	4124
540	4850	4115
541	4858	4105
542	4866	4095
543	4881	4092
544	4890	4082
545	4899	4073
546	4908	4064
547	4915	4054
548	4925	4046
549	4933	4036
550	4941	4026
551	4950	4018
552	4959	4008
553	4968	3999
554	4976	3990
555	4985	3981
556	4993	3971
557	5001	3962
558	5010	3952
559	5017	3942
560	5026	3933
561	5034	3923
562	5042	3914
563	5051	3904
564	5060	3895
565	5068	3886
566	5076	3877
567	5085	3867
568	5093	3858
569	5102	3849
570	5110	3839
571	5118	3829
572	5126	3819
573	5133	3809
574	5140	3799
575	5147	3789
576	5155	3779
577	5164	3770
578	5173	3761
579	5181	3752
580	5190	3742
581	5197	3732
582	5206	3723
583	5214	3714
584	5222	3705
585	5231	3696
586	5239	3686
587	5248	3677
588	5256	3667
589	5264	3658
590	5273	3649
591	5282	3640
592	5290	3631
593	5298	3621
594	5306	3612
595	5316	3603
596	5324	3594
597	5333	3585
598	5341	3576
599	5350	3566
600	5358	3557
601	5365	3547
602	5372	3537
603	5381	3528
604	5390	3519
605	5399	3510
606	5409	3502
607	5417	3493
608	5426	3484
609	5435	3474
610	5443	3465
611	5451	3456
612	5460	3447
613	5467	3437
614	5475	3427
615	5483	3418
616	5491	3408
617	5499	3399
618	5507	3389
619	5515	3380
620	5524	3371
621	5532	3362
622	5541	3353
623	5549	3344
624	5558	3335
625	5566	3325
626	5575	3316
627	5583	3307
628	5592	3298
629	5600	3289
630	5611	3281
631	5620	3272
632	5628	3263
633	5636	3253
634	5644	3244
635	5653	3235
636	5662	3226
637	5671	3217
638	5678	3208
639	5687	3199
640	5695	3190
641	5703	3180
642	5711	3171
643	5719	3161
644	5728	3152
645	5735	3143
646	5744	3133
647	5752	3124
648	5760	3115
649	5768	3106
650	5776	3096
651	5784	3087
652	5792	3078
653	5801	3069
654	5809	3060
655	5816	3050
656	5825	3041
657	5838	3034
658	5847	3025
659	5855	3016
660	5864	3007
661	5872	2998
662	5883	2990
663	5891	2981
664	5898	2971
665	5908	2963
666	5916	2954
667	5925	2944
668	5933	2935
669	5941	2926
670	5949	2916
671	5957	2907
672	5965	2898
673	5972	2888
674	5980	2879
675	5988	2870
676	5996	2860
677	6003	2851
678	6012	2842
679	6020	2833
680	6028	2824
681	6036	2814
682	6045	2806
683	6053	2796
684	6061	2787
685	6070	2778
686	6078	2769
687	6086	2760
688	6095	2751
689	6102	2741
690	6111	2732
691	6118	2723
692	6126	2714
693	6135	2705
694	6143	2696
695	6151	2686
696	6160	2677
697	6167	2668
698	6176	2659
699	6185	2650
700	6193	2641
701	6201	2632
702	6210	2623
703	6219	2614
704	6228	2606
705	6237	2597
706	6246	2588
707	6254	2579
708	6263	2570
709	6271	2561
710	6284	2554
711	6307	2551
712	6329	2547
713	6350	2543
714	6370	2539
715	6386	2533
716	6402	2526
717	6419	2521
718	6439	2516
719	6454	2510
720	6473	2504
721	6492	2499
722	6511	2494
723	6536	2491
724	6553	2485
725	6563	2477
726	6571	2467
727	6579	2458
728	6589	2449
729	6598	2440
730	6606	2431
731	6615	2422
732	6624	2412
733	6632	2403
734	6641	2394
735	6650	2385
736	6659	2376
737	6665	2366
738	6674	2357
739	6682	2347
740	6690	2338
741	6698	2329
742	6704	2319
743	6713	2310
744	6720	2300
745	6741	2295
746	6760	2289
747	6779	2283
748	6786	2274
749	6796	2265
750	6808	2257
751	6816	2248
752	6824	2238
753	6832	2229
754	6841	2220
755	6850	2210
756	6861	2202
757	6868	2192
758	6876	2183
759	6884	2174
760	6893	2164
761	6902	2155
762	6909	2146
763	6917	2136
764	6925	2127
765	6932	2117
766	6940	2108
767	6948	2099
768	6957	2090
769	6966	2080
770	6974	2071
771	6982	2062
772	6991	2053
773	7000	2044
774	7008	2034
775	7016	2025
776	7023	2015
777	7031	2006
778	7040	1997
779	7048	1988
780	7057	1979
781	7066	1969
782	7073	1960
783	7082	1951
784	7090	1942
785	7099	1932
786	7108	1923
787	7117	1914
788	7127	1906
789	7136	1897
790	7144	1887
791	7152	1878
792	7161	1869
793	7169	1860
794	7177	1850
795	7186	1841
796	7195	1832
797	7203	1823
798	7212	1814
799	7221	1805
800	7230	1796
801	7239	1787
802	7248	1778
803	7255	1768
804	7264	1759
805	7272	1750
806	7279	1741
807	7288	1731
808	7296	1722
809	7304	1713
810	7313	1704
811	7321	1695
812	7330	1686
813	7339	1676
814	7349	1668
815	7357	1658
816	7366	1650
817	7374	1640
818	7382	1631
819	7393	1622
820	7401	1613
821	7409	1604
822	7417	1595
823	7426	1586
824	7434	1577
825	7442	1567
826	7450	1558
827	7458	1549
828	7466	1540
829	7474	1530
830	7482	1521
831	7489	1512
832	7498	1503
833	7506	1494
834	7514	1484
835	7524	1476
836	7532	1466
837	7540	1457
838	7549	1448
839	7558	1439
840	7566	1430
841	7572	1421
842	7582	1412
843	7589	1402
844	7596	1393
845	7604	1384
846	7612	1375
847	7621	1366
848	7629	1356
849	7637	1347
850	7650	1339
851	7671	1332
852	7685	1324
853	7705	1317
854	7721	1309
855	7729	1300
856	7739	1291
857	7756	1283
858	7777	1276
859	7790	1268
860	7799	1259
861	7807	1249
862	7815	1240
863	7824	1231
864	7833	1222
865	7844	1213
866	7853	1204
867	7861	1195
868	7870	1186
869	7878	1177
870	7887	1168
871	7895	1158
872	7903	1149
873	7914	1140
874	7932	1133
875	7946	1124
876	7954	1115
877	7963	1106
878	7971	1097
879	7978	1087
880	7987	1078
881	7995	1069
882	8003	1060
883	8011	1051
884	8020	1042
885	8027	1032
886	8035	1023
887	8044	1014
888	8051	1005
889	8060	996
890	8069	987
891	8077	977
892	8085	968
893	8108	961
894	8129	953
895	8145	945
896	8153	936
897	8162	927
898	8171	918
899	8179	908
900	8188	899
901	8197	890
902	8205	881
